date,open,high,low,Close,Volume
9/24/13,99.0479,99.9411,98.4245,99.2433,45267000
9/25/13,99.3363,99.9969,98.927,99.0572,37106600
9/26/13,99.3177,99.9876,98.9549,99.6061,29490600
9/27/13,98.9828,99.5968,98.8153,99.1595,30296400
9/30/13,98.0896,99.4014,97.9128,99.1875,45771700
10/1/13,99.1409,100.415,99.0386,100.3411,39344400
10/2/13,99.634,100.2481,99.4107,99.9318,30622900
10/3/13,99.7457,99.8852,98.2478,98.9083,57799200
10/4/13,98.9316,99.848,98.7595,99.5689,25902800
10/7/13,98.6106,99.234,98.3594,98.4059,32924200
10/8/13,98.4711,98.6478,96.6847,96.8103,61365000
10/9/13,97.0383,97.0941,95.8288,96.4242,52604900
10/10/13,97.6989,98.9083,97.6151,98.7502,53157800
10/11/13,98.4711,100.2295,98.4618,100.183,43197100
10/14/13,99.6061,100.8017,99.4852,100.6854,38774800
10/15/13,100.4714,100.69,99.4759,99.6992,42263500
10/16/13,100.3969,101.0389,100.1457,100.9366,34333600
10/17/13,100.4807,101.839,100.4528,101.8204,38967200
10/18/13,102.5461,103.0578,102.1833,102.9834,39496400
10/21/13,103.1323,103.3462,102.5926,102.7787,29198900
10/22/13,103.2253,103.7277,102.6857,103.0485,38112600
10/23/13,102.5647,102.8485,102.1274,102.7043,32275300
10/24/13,102.7787,103.5137,102.6485,103.2541,24711800
10/25/13,103.4951,103.6905,102.8717,103.3462,21321900
10/28/13,103.3928,103.537,102.7694,103.2997,22512200
10/29/13,103.5788,103.8486,102.8345,103.5974,30026900
10/30/13,103.644,103.7184,101.8949,102.1833,46076600
10/31/13,102.1274,102.5089,101.3087,101.5878,47370000
11/1/13,101.7925,101.9972,100.4062,101.1459,117030400
11/4/13,101.6343,102.481,101.2509,102.3135,31960000
11/5/13,101.9228,102.2763,101.2808,101.96,26643500
11/6/13,102.6671,102.6857,101.3227,101.5227,31773400
11/7/13,101.9879,102.1647,99.6806,99.8108,60459700
11/8/13,99.9597,101.839,99.9132,101.625,48147500
11/11/13,101.4483,101.9646,101.0761,101.7646,19897700
11/12/13,101.4762,101.8855,101.104,101.8483,28075100
11/13/13,101.0947,102.8531,101.0575,102.8252,36465900
11/14/13,102.7787,102.8997,102.0995,102.7182,33226800
11/15/13,102.8997,103.2625,102.4903,103.1136,27518500
11/18/13,103.5695,103.6626,102.1088,102.388,35509600
11/19/13,102.4438,102.9834,101.4018,101.7553,36081300
11/20/13,102.2763,102.5275,101.2715,101.7181,43376700
11/21/13,102.1647,103.6067,102.0437,103.5509,45585000
11/22/13,103.5416,104.1743,103.3648,104.0626,28786400
11/25/13,104.3231,104.458,103.8577,104.1929,22968600
11/26/13,104.1929,105.1512,104.1091,104.9651,30760700
11/27/13,104.9837,105.6629,104.7976,105.5512,29099600
11/29/13,106.0071,106.2118,105.5512,105.6071,15675500
12/2/13,105.7838,105.8396,104.2534,104.5464,43155200
12/3/13,104.3231,104.7604,103.523,104.044,36930700
12/4/13,103.5602,104.5929,102.6857,103.7649,40609500
12/5/13,103.7277,104.2208,103.4114,103.8393,37926700
12/6/13,104.779,105.2256,104.379,104.6488,36471900
12/9/13,104.7883,105.0302,104.0998,104.6209,31236500
12/10/13,104.4162,104.7418,103.4951,103.6719,34938800
12/11/13,103.7835,103.7835,101.7088,101.9693,47181600
12/12/13,102.0623,102.5698,101.746,102.1926,37706200
12/13/13,102.388,102.8346,101.8018,102.5275,32980300
12/16/13,102.9183,103.8021,102.4849,103.7463,33991200
12/17/13,103.6905,103.7742,102.9136,103.5974,32399800
12/18/13,103.7649,105.0395,102.6764,105.0209,52979000
12/19/13,104.8721,104.993,104.0952,104.2394,32871100
12/20/13,104.2952,106.2676,104.2859,105.9978,48770500
12/23/13,106.6346,107.2323,106.4198,107.195,37049100
12/24/13,107.3164,107.8113,107.279,107.6059,17371200
12/26/13,107.9888,108.3063,107.4938,107.6152,19670000
12/27/13,107.8394,108.0915,107.195,107.5498,20069700
12/30/13,107.5032,107.746,107.2603,107.4845,28917400
12/31/13,107.7366,108.0635,107.5592,107.7366,38357200
1/2/14,107.4845,107.5125,106.1303,106.5692,44247700
1/3/14,106.9335,107.3024,106.5692,107.1109,26468000
1/6/14,107.6059,107.6479,106.1957,106.2424,36198000
1/7/14,106.644,107.5498,106.5692,107.1296,28545300
1/8/14,107.195,107.4751,106.5319,107.2697,30763600
1/9/14,107.6339,107.7647,106.6159,107.2977,29872800
1/10/14,107.3257,107.8954,106.84,107.8861,29174600
1/13/14,107.6806,107.858,105.776,106.4105,45370800
1/14/14,106.8774,107.8767,106.6346,107.718,39125300
1/15/14,107.9981,108.6052,107.9234,108.5211,31644100
1/16/14,108.381,108.6892,108.1756,108.6519,23091900
1/17/14,108.6239,108.7359,108.0448,108.269,28722300
1/21/14,109.0161,109.1468,108.1289,108.9134,29828700
1/22/14,108.9787,109.6138,108.8013,109.4644,24011500
1/23/14,109.0068,109.0628,108.0168,108.7266,36057500
1/24/14,108.0448,108.0915,105.7381,105.9529,53591900
1/27/14,106.261,106.3171,103.8048,104.4025,60368200
1/28/14,104.5333,105.5186,104.4025,105.5046,43722200
1/29/14,104.4866,105.1403,103.6834,103.9823,61904600
1/30/14,104.9069,106.1396,104.636,105.5335,40851600
1/31/14,103.8982,105.5326,103.8235,104.7481,49293400
2/3/14,104.4773,104.7855,101.0031,101.4701,91686000
2/4/14,101.9744,102.6841,101.2366,102.2359,53138100
2/5/14,101.6195,101.937,100.1812,101.4701,60644600
2/6/14,101.6849,102.7028,101.6568,102.2732,57611700
2/7/14,102.7028,103.5107,102.2639,103.4313,44068600
2/10/14,103.4686,103.7488,102.6935,103.7021,38211600
2/11/14,103.7768,104.9162,103.5433,104.6267,44394100
2/12/14,104.7855,105.5419,104.5725,105.0376,42307500
2/13/14,104.0196,106.5319,104.001,106.3731,42082400
2/14/14,106.1303,106.6626,105.6633,106.5225,32428200
2/18/14,106.8494,107.8207,106.5973,107.6339,33630400
2/19/14,107.307,107.9981,106.4478,106.5319,44024300
2/20/14,106.6533,107.9047,106.3825,107.6806,35919600
2/21/14,107.9795,108.4371,107.774,108.0168,34814100
2/24/14,108.1849,109.5531,108.1102,108.8106,43102800
2/25/14,108.9507,109.4924,108.5024,108.9227,28474200
2/26/14,108.9974,110.3049,108.7359,109.5951,40794800
2/27/14,109.2309,110.2535,109.0441,110.1928,29906200
2/28/14,110.1648,110.8653,109.0815,109.7539,47362700
3/3/14,108.82,109.5111,107.9421,109.1655,50892800
3/4/14,110.389,112.6117,110.3703,111.9112,112793900
3/5/14,111.9393,112.0326,111.575,111.8459,34691300
3/6/14,112.1821,112.3035,111.5283,111.8272,35087600
3/7/14,112.4529,112.5089,111.1594,111.7898,36931800
3/10/14,111.4723,111.6778,110.6598,111.4163,32089000
3/11/14,111.519,111.8879,109.7446,110.2582,50359500
3/12/14,109.5858,110.6131,109.1935,110.5944,37159100
3/13/14,110.996,111.0987,108.6892,109.315,53542800
3/14/14,108.9227,110.0808,108.9134,109.7726,46888100
3/17/14,110.4076,111.2295,110.0882,110.2582,41561600
3/18/14,110.4076,111.9579,110.2956,111.8645,41606600
3/19/14,111.7712,111.8272,110.2956,111.1361,47423000
3/20/14,110.8839,111.6404,110.3516,111.2855,33212900
3/21/14,111.8085,112.3128,110.7252,110.7719,47110800
3/24/14,111.2015,111.3509,108.5118,109.5111,66747000
3/25/14,110.1732,110.7771,108.7453,109.485,47699700
3/26/14,110.1404,110.1873,107.3502,107.3876,69052500
3/27/14,107.4064,108.0337,106.4513,107.1161,65234900
3/28/14,107.191,108.6142,106.7228,107.0131,50558000
3/31/14,107.7153,109.2509,107.3314,108.9326,44599200
4/1/14,109.2041,110.5431,109.1667,110.3652,47906600
4/2/14,110.7584,110.9382,110.2153,110.8614,33856500
4/3/14,110.8614,110.8989,109.2509,109.7378,38473500
4/4/14,110.4494,110.5992,106.7603,107.2004,86345900
4/7/14,106.6947,106.9663,104.9438,105.6367,68537700
4/8/14,105.6273,106.9288,105.0562,106.3764,60087900
4/9/14,106.7416,107.912,106.2734,107.912,42744900
4/10/14,107.7715,107.7809,104.3071,104.8305,74860200
4/11/14,103.97,105.0913,102.8652,103.3801,70998200
4/14/14,104.4476,104.8408,102.6685,103.6704,62657700
4/15/14,104.0075,104.6067,101.7416,104.073,76968000
4/16/14,104.8034,105.2809,104.1479,105.206,49353800
4/17/14,104.8595,106.1891,104.6067,105.7303,50275100
4/21/14,105.927,106.3015,105.1311,106.2266,31970700
4/22/14,106.3951,107.6966,106.2453,107.3221,40541900
4/23/14,107.191,107.4625,106.5262,106.6479,33859500
4/24/14,107.3221,107.3689,105.5056,106.3764,44318900
4/25/14,105.9644,106.0019,104.1292,104.5037,58386300
4/28/14,104.8783,105.3745,102.3595,103.8951,66050100
4/29/14,104.3258,104.8502,103.8389,104.1573,34487600
4/30/14,103.8202,104.9251,102.9494,104.8502,43929700
5/1/14,104.6348,105.5899,103.5019,104.8127,78690900
5/2/14,104.9532,105.9176,104.5693,104.897,43450300
5/5/14,104.0449,105.0374,103.4925,104.7659,28108400
5/6/14,104.3165,104.5974,102.9869,103.0618,45354700
5/7/14,103.1835,103.4176,101.5262,103.1264,64243800
5/8/14,103.0243,104.1573,101.7697,102.088,58520300
5/9/14,101.7697,103.0524,101.3858,103.0243,48409900
5/12/14,103.633,105.838,103.4738,105.3652,76291700
